genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Pop,Everybody Loves an Outlaw,I See Red,2Xau3uNsnIb9FwzsvHR84z,72,0.00734,0.42,230613,0.447,0.0156,E,0.20199999999999999,-7.555,Minor,0.0375,78.775,3/4,0.21600000000000003
Pop,"Ocan Siagian, Okin",Ekspektasi,6cqIxECF2y28W51gAdvzmU,68,0.21899999999999997,0.5870000000000001,220573,0.662,0.0008349999999999999,C#,0.12300000000000001,-8.79,Minor,0.0262,111.97200000000001,4/4,0.784
Pop,Michele Morrone,Hard For Me,3nrxsQEntBXdY5JoqA39ES,75,0.813,0.505,177947,0.293,0.0,A#,0.0983,-11.765999999999998,Minor,0.0345,81.93799999999999,4/4,0.16
Pop,Michele Morrone,Feel It,1YJ1iwXq6tMpjJoFdbg3dr,66,0.142,0.652,159480,0.369,0.00322,C#,0.128,-9.301,Minor,0.045,155.016,3/4,0.37200000000000005
Pop,Peach Tree Rascals,Mariposa,4ja2gzrNh9VNigzoXfmbwD,81,0.617,0.6759999999999999,210000,0.525,0.0,A,0.35600000000000004,-5.88,Major,0.027999999999999997,112.01100000000001,4/4,0.42100000000000004
Pop,Niack,Na Raba Toma Tapão,0AGS6ZRgzobrazmCi6pYMe,72,0.6659999999999999,0.9620000000000001,165231,0.787,5.739999999999999e-05,D#,0.17600000000000002,1.5090000000000001,Minor,0.0554,130.003,4/4,0.968
Pop,BAEKHYUN,Candy,6kKC35sKUh2FUx4M0qAL44,78,0.24,0.649,227173,0.767,0.0,B,0.0929,-3.838,Minor,0.0455,149.918,4/4,0.608
Pop,yama,春を告げる,2Gmyw5Vg2X5YW2lM3OC7nD,70,0.0397,0.5479999999999999,196497,0.871,0.0,B,0.35700000000000004,-5.377000000000001,Major,0.12300000000000001,120.009,4/4,0.48700000000000004
Pop,SECRET NUMBER,Who Dis?,6loyhEAW2QFgQnvorXzsXn,70,0.267,0.7909999999999999,194037,0.885,0.0,D,0.22699999999999998,-2.43,Major,0.0623,104.959,4/4,0.51
Pop,Chloe x Halle,Do It,35Dh5MnCUPLN3XyAVtQff3,59,0.0932,0.725,176787,0.6679999999999999,2.33e-06,F,0.11199999999999999,-7.2860000000000005,Minor,0.055,82.96600000000001,4/4,0.5660000000000001
Pop,Michele Morrone,Watch Me Burn,3G2PuoyQe0NURrvgia041E,65,0.0169,0.7240000000000001,186013,0.604,3.5e-05,D,0.141,-7.896,Major,0.235,140.056,4/4,0.515
Pop,Jordan Suaste,Body,6wQgV6ZYt1snXyQV69mGT4,8,0.627,0.452,205402,0.325,0.0,E,0.0645,-8.687000000000001,Minor,0.0337,97.98700000000001,4/4,0.33
Pop,StaySolidRocky,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,94,0.7490000000000001,0.728,147800,0.431,0.0,F#,0.0996,-9.966000000000001,Minor,0.0622,130.02200000000002,4/4,0.629
Pop,"DJ Fle, Shaggy, Conkarah",Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,0dZpw3h6KZhcHec61qwevZ,81,0.016,0.8240000000000001,210329,0.8540000000000001,4.95e-05,G#,0.11699999999999999,-5.312,Major,0.177,95.11399999999999,4/4,0.8959999999999999
