popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
72,0.6659999999999999,0.9620000000000001,165231,0.787,5.739999999999999e-05,0.17600000000000002,1.5090000000000001,0.0554,130.003,0.968
72,0.386,0.531,192632,0.7709999999999999,0.0,0.9420000000000001,-5.897,0.05,123.414,0.467
73,0.627,0.6679999999999999,187986,0.684,0.0,0.9229999999999999,-5.937,0.0527,108.13799999999999,0.7
65,0.35600000000000004,0.48,170197,0.807,0.0,0.626,-7.402,0.195,153.61,0.536
83,0.366,0.7929999999999999,237517,0.937,4.27e-06,0.9620000000000001,-2.44,0.0336,134.012,0.8270000000000001
81,0.0883,0.6659999999999999,166388,0.846,0.0,0.084,-3.654,0.174,144.47899999999998,0.782
81,0.292,0.7140000000000001,170877,0.632,0.0,0.812,-5.1,0.0312,93.052,0.402
79,0.342,0.39399999999999996,158969,0.9179999999999999,0.0,0.982,-2.657,0.33399999999999996,157.925,0.588
74,0.255,0.626,155798,0.599,0.0,0.16,-5.869,0.10300000000000001,100.00399999999999,0.621
81,0.621,0.7140000000000001,174863,0.7120000000000001,0.0,0.127,-4.4030000000000005,0.0545,123.804,0.789
82,0.591,0.662,156996,0.7,0.00233,0.0709,-5.149,0.0479,176.956,0.705
81,0.86,0.579,155125,0.34600000000000003,2.02e-06,0.0945,-13.975,0.368,102.374,0.741
82,0.18100000000000002,0.8109999999999999,129782,0.6890000000000001,2.55e-05,0.0784,-5.113,0.0615,144.015,0.6629999999999999
81,0.0917,0.818,161653,0.645,0.0,0.0992,-5.325,0.27399999999999997,174.03799999999998,0.868
80,0.292,0.616,210080,0.8390000000000001,0.0,0.268,-2.895,0.106,147.88299999999998,0.348
77,0.384,0.769,168080,0.649,0.0,0.9490000000000001,-4.864,0.0714,77.487,0.8340000000000001
