const,acousticness,danceability,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,y_hat,y
1,0.628,0.625,0.69,0.0776,-8.689,0.0333,120.026,0.626,169653,34.520171844613316,31
1,0.422,0.6579999999999999,5.2e-05,0.0749,-8.533,0.0321,74.038,0.358,278180,42.88669951378015,78
1,0.578,0.721,1.18e-05,0.708,-7.401,0.0468,99.979,0.5870000000000001,176640,33.940084081596964,52
1,0.723,0.212,0.0,0.299,-10.071,0.0347,173.79,0.452,191160,27.51749661996851,68
1,0.8809999999999999,0.522,8.69e-06,0.177,-13.878,0.041,128.985,0.535,176102,29.51905536476019,25
1,0.233,0.37,0.000122,0.314,-3.463,0.033,80.648,0.7040000000000001,278453,35.314566803188754,39
1,0.0715,0.57,0.0,0.317,-6.415,0.0281,101.54,0.626,182058,39.69658187534383,39
1,0.26,0.7509999999999999,0.000174,0.251,-6.478,0.03,99.977,0.524,335339,43.38346630833202,29
1,0.381,0.583,1.3800000000000007e-05,0.329,-5.825,0.0297,85.26299999999998,0.693,288427,36.5022794059029,45
1,0.209,0.792,1.69e-06,0.22,-6.8889999999999985,0.042,120.051,0.735,134440,40.892903369655556,24
1,0.652,0.388,3.72e-06,0.248,-10.054,0.0328,177.78400000000005,0.477,303373,31.722808947277763,81
1,0.65,0.5579999999999999,0.000134,0.171,-6.595,0.0462,120.787,0.27,222410,39.68899456927436,38
1,0.499,0.625,1.46e-05,0.104,-8.437000000000001,0.0719,130.645,0.53,204493,38.13044791295299,28
1,0.986,0.601,6.8e-05,0.182,-22.113000000000003,0.0506,105.418,0.269,281533,30.034154055826036,50
1,0.643,0.376,0.000239,0.132,-6.318,0.0265,131.534,0.46,331533,34.90043728229281,43
1,0.343,0.443,2.13e-05,0.154,-13.157,0.104,151.994,0.435,301387,35.18347334714971,30
1,0.574,0.8059999999999999,0.0,0.0981,-7.6720000000000015,0.0745,143.01,0.784,263348,37.52031631786558,74
1,0.32899999999999996,0.9059999999999999,0.0,0.255,-8.332,0.0746,99.99600000000001,0.899,144013,38.29238159845953,77
1,0.00734,0.42,0.0156,0.20199999999999999,-7.555,0.0375,78.775,0.21600000000000005,230613,43.99627974466425,72
1,0.21899999999999997,0.5870000000000001,0.0008349999999999999,0.12300000000000001,-8.79,0.0262,111.97200000000001,0.784,220573,36.93814167866698,68
1,0.813,0.505,0.0,0.0983,-11.765999999999998,0.0345,81.93799999999997,0.16,177947,37.009736150015186,75
1,0.142,0.652,0.00322,0.128,-9.301,0.045,155.016,0.3720000000000001,159480,43.69330124267765,66
1,0.617,0.6759999999999999,0.0,0.35600000000000004,-5.88,0.027999999999999997,112.01100000000001,0.42100000000000004,210000,38.91715666082966,81
1,0.6659999999999999,0.9620000000000001,5.7399999999999986e-05,0.17600000000000002,1.5090000000000001,0.0554,130.003,0.968,165231,40.27740511835469,72
1,0.24,0.649,0.0,0.0929,-3.838,0.0455,149.918,0.608,227173,42.476445572131304,78
1,0.0397,0.5479999999999999,0.0,0.35700000000000004,-5.3770000000000024,0.12300000000000001,120.009,0.48700000000000004,196497,40.8695458321524,70
