const,acousticness,danceability,energy,instrumentalness,liveness,y_hat,y
1,0.6659999999999999,0.962,0.787,5.7399999999999986e-05,0.17600000000000002,36.59794642421213,72
1,0.386,0.531,0.7709999999999999,0.0,0.942,28.451681219523962,72
1,0.627,0.6679999999999999,0.684,0.0,0.923,26.296649763134116,73
1,0.35600000000000004,0.48,0.807,0.0,0.626,32.095911134232715,65
1,0.366,0.7929999999999999,0.937,4.27e-06,0.962,30.467048680777726,83
1,0.0883,0.6659999999999999,0.846,0.0,0.084,43.742278290333346,81
1,0.292,0.7140000000000001,0.632,0.0,0.812,32.924549657186226,81
1,0.342,0.394,0.918,0.0,0.982,27.410091894978983,79
1,0.255,0.626,0.599,0.0,0.16,40.310455971849855,74
1,0.621,0.7140000000000001,0.7120000000000001,0.0,0.127,35.90548310074189,81
1,0.591,0.662,0.7,0.00233,0.0709,36.581952226460714,82
1,0.86,0.579,0.34600000000000003,2.02e-06,0.0945,32.00453256161206,81
1,0.181,0.8109999999999999,0.6890000000000001,2.55e-05,0.0784,43.74302068391174,82
1,0.0917,0.818,0.645,0.0,0.0992,44.91360452535114,81
1,0.292,0.616,0.8390000000000001,0.0,0.268,38.22682848071177,80
1,0.384,0.769,0.649,0.0,0.949,30.41580134501,77
1,0.16,0.428,0.8059999999999999,0.0,0.6809999999999999,33.932515512509234,79
1,0.445,0.5429999999999999,0.7559999999999999,0.0,0.95,27.60007120208656,79
1,0.24,0.528,0.87,0.0,0.333,37.510620614750685,79
1,0.0125,0.794,0.7929999999999999,0.0,0.0952,45.802105027982485,89
1,0.159,0.605,0.72,0.0,0.956,32.27146639538884,69
1,0.108,0.59,0.846,0.0,0.93,33.089988619566434,70
1,0.479,0.8270000000000001,0.6829999999999999,0.0,0.409,35.67670892419653,64
1,0.611,0.552,0.7090000000000001,0.0,0.763,27.425246548440324,78
1,0.515,0.605,0.812,0.0,0.419,33.13785931721726,77
1,0.0167,0.77,0.7240000000000001,0.0107,0.353,42.60903155986732,97
1,0.471,0.61,0.867,0.0,0.83,29.03866250747916,77
1,0.331,0.691,0.5579999999999999,0.0,0.0545,40.96476183355798,72
1,0.272,0.624,0.47,0.0,0.147,40.308723818963905,77
1,0.445,0.39,0.903,0.0,0.911,26.693089055076086,70
1,0.0604,0.665,0.743,0.0,0.959,34.149170565713675,78
1,0.488,0.605,0.723,0.0,0.333,34.6061273132088,76
1,0.0486,0.741,0.943,0.0,0.965,34.68473551315742,76
1,0.14400000000000002,0.457,0.603,0.0,0.679,34.604150257260805,79
1,0.5710000000000001,0.643,0.8270000000000001,0.0,0.17600000000000002,35.40574868600991,62
